Vir: 32000, Phy: 22784, Data: 0
Vir: 28549, Phy: 28037, Data: 0
Vir: 46295, Phy: 23255, Data: 53
Vir: 22772, Phy: 23540, Data: 0
Vir: 58228, Phy: 1396, Data: 0
Vir: 63525, Phy: 28197, Data: 0
Vir: 32602, Phy: 23642, Data: 31
Vir: 46195, Phy: 23155, Data: 28
Vir: 55849, Phy: 1833, Data: 0
Vir: 46454, Phy: 23926, Data: 45
Vir: 7487, Phy: 12863, Data: 79
Vir: 33879, Phy: 10583, Data: 21
Vir: 42004, Phy: 16148, Data: 0
Vir: 8599, Phy: 24215, Data: 101
Vir: 18641, Phy: 24529, Data: 0
Vir: 49015, Phy: 24695, Data: -35
Vir: 26830, Phy: 11726, Data: 26
Vir: 34754, Phy: 25026, Data: 33
Vir: 14668, Phy: 588, Data: 0
Vir: 38362, Phy: 25306, Data: 37
Vir: 38791, Phy: 17287, Data: -31
Vir: 4171, Phy: 25419, Data: 18
Vir: 45975, Phy: 25751, Data: -27
Vir: 14623, Phy: 543, Data: 71
Vir: 62393, Phy: 26041, Data: 0
Vir: 64658, Phy: 26258, Data: 63
Vir: 10963, Phy: 26579, Data: -76
Vir: 9058, Phy: 20834, Data: 8
Vir: 51031, Phy: 11863, Data: -43
Vir: 32425, Phy: 20649, Data: 0
Vir: 45483, Phy: 16043, Data: 106
Vir: 44611, Phy: 26691, Data: -112
Vir: 63664, Phy: 28336, Data: 0
Vir: 54920, Phy: 27016, Data: 0
Vir: 7663, Phy: 13039, Data: 123
Vir: 56480, Phy: 27296, Data: 0
Vir: 1489, Phy: 27601, Data: 0
Vir: 28438, Phy: 27926, Data: 27
Vir: 65449, Phy: 30633, Data: 0
Vir: 12441, Phy: 15001, Data: 0
Vir: 58530, Phy: 27810, Data: 57
Vir: 63570, Phy: 28242, Data: 62
Vir: 26251, Phy: 22155, Data: -94
Vir: 15972, Phy: 28004, Data: 0
Vir: 35826, Phy: 13298, Data: 34
Vir: 5491, Phy: 28275, Data: 92
Vir: 54253, Phy: 28653, Data: 0
Vir: 49655, Phy: 15351, Data: 125
Vir: 5868, Phy: 28908, Data: 0
Vir: 20163, Phy: 8899, Data: -80
Vir: 51079, Phy: 11911, Data: -31
Vir: 21398, Phy: 29078, Data: 20
Vir: 32756, Phy: 23796, Data: 0
Vir: 64196, Phy: 22468, Data: 0
Vir: 43218, Phy: 29394, Data: 42
Vir: 21583, Phy: 29519, Data: 19
Vir: 25086, Phy: 29950, Data: 24
Vir: 45515, Phy: 16075, Data: 114
Vir: 12893, Phy: 30301, Data: 0
Vir: 22914, Phy: 30082, Data: 22
Vir: 58969, Phy: 30297, Data: 0
Vir: 20094, Phy: 8830, Data: 19
Vir: 13730, Phy: 30626, Data: 13
Vir: 44059, Phy: 30747, Data: 6
Vir: 28931, Phy: 30979, Data: 64
Vir: 13533, Phy: 3549, Data: 0
Vir: 33134, Phy: 31342, Data: 32
Vir: 28483, Phy: 31555, Data: -48
Vir: 1220, Phy: 9156, Data: 0
Vir: 38174, Phy: 25118, Data: 37
Vir: 53502, Phy: 2814, Data: 52
Vir: 43328, Phy: 31808, Data: 0
Vir: 4970, Phy: 32106, Data: 4
Vir: 8090, Phy: 1178, Data: 7
Vir: 2661, Phy: 32357, Data: 0
Vir: 53903, Phy: 32655, Data: -93
Vir: 11025, Phy: 7697, Data: 0
Vir: 26627, Phy: 11523, Data: 0
Vir: 18117, Phy: 197, Data: 0
Vir: 14505, Phy: 425, Data: 0
Vir: 61528, Phy: 600, Data: 0
Vir: 20423, Phy: 967, Data: -15
Vir: 26962, Phy: 1106, Data: 26
Vir: 36392, Phy: 14632, Data: 0
Vir: 11365, Phy: 1381, Data: 0
Vir: 50882, Phy: 1730, Data: 49
Vir: 41668, Phy: 10436, Data: 0
Vir: 30497, Phy: 16417, Data: 0
Vir: 36216, Phy: 1912, Data: 0
Vir: 5619, Phy: 28403, Data: 124
Vir: 36983, Phy: 2167, Data: 29
Vir: 59557, Phy: 2469, Data: 0
Vir: 36663, Phy: 2871, Data: -51
Vir: 36436, Phy: 14676, Data: 0
Vir: 37057, Phy: 2241, Data: 0
Vir: 23585, Phy: 2593, Data: 0
Vir: 58791, Phy: 2983, Data: 105
Vir: 46666, Phy: 3146, Data: 45
Vir: 64475, Phy: 19931, Data: -10
Vir: 21615, Phy: 29551, Data: 27
Vir: 41090, Phy: 3458, Data: 40
Vir: 1771, Phy: 12779, Data: -70
Vir: 47513, Phy: 3737, Data: 0
Vir: 39338, Phy: 4010, Data: 38
Vir: 1390, Phy: 27502, Data: 1
Vir: 38772, Phy: 17268, Data: 0
